Folder Path,Original Name,View Link,Direct Image Link
dress images/VD,23.jpg,https://drive.google.com/file/d/1cM_zbzJccPI7vvWFZjMW5GtSpi_KHcEl/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1cM_zbzJccPI7vvWFZjMW5GtSpi_KHcEl
dress images/VD,22.jpg,https://drive.google.com/file/d/1rF5-N6A3LvBhzLE1wXaP5vZNZdCA1mKY/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1rF5-N6A3LvBhzLE1wXaP5vZNZdCA1mKY
dress images/VD,21.jpg,https://drive.google.com/file/d/1bTF7NueCbjh04ZM-0OEYfqu6zUwiQLsg/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1bTF7NueCbjh04ZM-0OEYfqu6zUwiQLsg
dress images/VD,20.jpg,https://drive.google.com/file/d/1WrRjPKKf64aqlj3R4xN6gxvAgw02FwxK/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1WrRjPKKf64aqlj3R4xN6gxvAgw02FwxK
dress images/VD,19.jpg,https://drive.google.com/file/d/1CjKWdw7HkgPL436Kn_esdkFZDQP0sOn2/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1CjKWdw7HkgPL436Kn_esdkFZDQP0sOn2
dress images/VD,18.jpg,https://drive.google.com/file/d/1-VrdUMah3U73WlMEagwbAKHmYMDFOnth/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1-VrdUMah3U73WlMEagwbAKHmYMDFOnth
dress images/VD,17.jpg,https://drive.google.com/file/d/1xIQlQI25KV2ZmE-Tg4NomXv5m52t3VO4/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1xIQlQI25KV2ZmE-Tg4NomXv5m52t3VO4
dress images/VD,16.jpg,https://drive.google.com/file/d/1LIbLDEUcbpsnE0330bSaCW08GDVEWeVi/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1LIbLDEUcbpsnE0330bSaCW08GDVEWeVi
dress images/VD,15.jpg,https://drive.google.com/file/d/1kINajyb2dLAfpj26B-VOAzIuUVyS6x9M/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=1kINajyb2dLAfpj26B-VOAzIuUVyS6x9M
dress images/VD,14.jpg,https://drive.google.com/file/d/181wvl3QSr3VY1wAevVEFj0aIDGou7OFk/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=181wvl3QSr3VY1wAevVEFj0aIDGou7OFk
dress images/VD,13.jpg,https://drive.google.com/file/d/13n_zmJqOXsmXHDdlE2LZdxixxQ_FEhb5/view?usp=drivesdk,https://drive.google.com/uc?export=view&id=13n_zmJqOXsmXHDdlE2LZdxixxQ_FEhb5
